"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.617,0.699,4,-5.123,0,0.0308,0.00325,0.00088,0.269,0.487,105.07,"audio_features","4MhlFfh4pa2rONBQmh6RpH","spotify:track:4MhlFfh4pa2rONBQmh6RpH","https://api.spotify.com/v1/tracks/4MhlFfh4pa2rONBQmh6RpH","https://api.spotify.com/v1/audio-analysis/4MhlFfh4pa2rONBQmh6RpH",271173,4
"2",1,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,"audio_features","5ghIJDpPoe3CfHMGu71E6T","spotify:track:5ghIJDpPoe3CfHMGu71E6T","https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T","https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T",301920,4
"3",2,0.539,0.597,7,-9.581,1,0.0258,0.0108,0.00552,0.134,0.251,139.444,"audio_features","5SnOyuBtyzufoXBAKOdcxD","spotify:track:5SnOyuBtyzufoXBAKOdcxD","https://api.spotify.com/v1/tracks/5SnOyuBtyzufoXBAKOdcxD","https://api.spotify.com/v1/audio-analysis/5SnOyuBtyzufoXBAKOdcxD",387133,4
"4",3,0.443,0.765,8,-4.104,1,0.0301,0.000224,0.0447,0.111,0.179,139.138,"audio_features","4ao9bdN6ozxdlQ9j2rGDFy","spotify:track:4ao9bdN6ozxdlQ9j2rGDFy","https://api.spotify.com/v1/tracks/4ao9bdN6ozxdlQ9j2rGDFy","https://api.spotify.com/v1/audio-analysis/4ao9bdN6ozxdlQ9j2rGDFy",347867,4
"5",4,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,"audio_features","0J6mQxEZnlRt9ymzFntA6z","spotify:track:0J6mQxEZnlRt9ymzFntA6z","https://api.spotify.com/v1/tracks/0J6mQxEZnlRt9ymzFntA6z","https://api.spotify.com/v1/audio-analysis/0J6mQxEZnlRt9ymzFntA6z",249293,4
"6",5,0.469,0.79,1,-9.262,1,0.0925,0.0579,0.00257,0.41,0.6,158.925,"audio_features","5PklEat9V4riVvqfQmXrGs","spotify:track:5PklEat9V4riVvqfQmXrGs","https://api.spotify.com/v1/tracks/5PklEat9V4riVvqfQmXrGs","https://api.spotify.com/v1/audio-analysis/5PklEat9V4riVvqfQmXrGs",202293,4
"7",6,0.641,0.812,0,-7.945,0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,"audio_features","1YwNlWLf8auhazSQUDQLFU","spotify:track:1YwNlWLf8auhazSQUDQLFU","https://api.spotify.com/v1/tracks/1YwNlWLf8auhazSQUDQLFU","https://api.spotify.com/v1/audio-analysis/1YwNlWLf8auhazSQUDQLFU",257333,4
"8",7,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,"audio_features","1z3ugFmUKoCzGsI6jdY4Ci","spotify:track:1z3ugFmUKoCzGsI6jdY4Ci","https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci","https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci",342680,4
"9",8,0.586,0.667,0,-10.081,1,0.0448,0.703,1.01e-06,0.195,0.693,76.996,"audio_features","1ocQQnRS8HxZgI3CbQ2Wir","spotify:track:1ocQQnRS8HxZgI3CbQ2Wir","https://api.spotify.com/v1/tracks/1ocQQnRS8HxZgI3CbQ2Wir","https://api.spotify.com/v1/audio-analysis/1ocQQnRS8HxZgI3CbQ2Wir",163667,4
"10",9,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,"audio_features","4gMgiXfqyzZLMhsksGmbQV","spotify:track:4gMgiXfqyzZLMhsksGmbQV","https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV","https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV",238747,4
"11",10,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,"audio_features","22sLuJYcvZOSoLLRYev1s5","spotify:track:22sLuJYcvZOSoLLRYev1s5","https://api.spotify.com/v1/tracks/22sLuJYcvZOSoLLRYev1s5","https://api.spotify.com/v1/audio-analysis/22sLuJYcvZOSoLLRYev1s5",240280,4
"12",11,0.862,0.402,4,-12.075,1,0.0368,0.0478,0.00499,0.179,0.812,109.157,"audio_features","09jZZLarDD6MI3eT3ujsEL","spotify:track:09jZZLarDD6MI3eT3ujsEL","https://api.spotify.com/v1/tracks/09jZZLarDD6MI3eT3ujsEL","https://api.spotify.com/v1/audio-analysis/09jZZLarDD6MI3eT3ujsEL",200973,4
"13",12,0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,"audio_features","3ovjw5HZZv43SxTwApooCM","spotify:track:3ovjw5HZZv43SxTwApooCM","https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM","https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM",312360,4
"14",13,0.43,0.396,0,-11.915,1,0.0295,0.527,0.000101,0.143,0.429,138.241,"audio_features","2ZNEcJ6jJAN9PiN8paKhoK","spotify:track:2ZNEcJ6jJAN9PiN8paKhoK","https://api.spotify.com/v1/tracks/2ZNEcJ6jJAN9PiN8paKhoK","https://api.spotify.com/v1/audio-analysis/2ZNEcJ6jJAN9PiN8paKhoK",273133,4
"15",14,0.507,0.752,5,-5.439,0,0.0343,0.251,2.1e-05,0.142,0.554,76.071,"audio_features","4XnwIyMilssuVWKxXTEUK0","spotify:track:4XnwIyMilssuVWKxXTEUK0","https://api.spotify.com/v1/tracks/4XnwIyMilssuVWKxXTEUK0","https://api.spotify.com/v1/audio-analysis/4XnwIyMilssuVWKxXTEUK0",262747,4
"16",15,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,"audio_features","4qO03RMQm88DdpTJcxlglY","spotify:track:4qO03RMQm88DdpTJcxlglY","https://api.spotify.com/v1/tracks/4qO03RMQm88DdpTJcxlglY","https://api.spotify.com/v1/audio-analysis/4qO03RMQm88DdpTJcxlglY",212600,4
