"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.397,0.637,2,-9.877,0,0.0249,0.00338,0.0178,0.0973,0.394,165.371,"audio_features","1AwUs7IeFJ7w0UFzMeuU8F","spotify:track:1AwUs7IeFJ7w0UFzMeuU8F","https://api.spotify.com/v1/tracks/1AwUs7IeFJ7w0UFzMeuU8F","https://api.spotify.com/v1/audio-analysis/1AwUs7IeFJ7w0UFzMeuU8F",270107,4
"2",1,0.662,0.784,11,-7.664,1,0.0369,0.0062,1.06e-05,0.0716,0.466,130.278,"audio_features","3WG3goVRrVz0maPXCXdpCW","spotify:track:3WG3goVRrVz0maPXCXdpCW","https://api.spotify.com/v1/tracks/3WG3goVRrVz0maPXCXdpCW","https://api.spotify.com/v1/audio-analysis/3WG3goVRrVz0maPXCXdpCW",298560,4
"3",2,0.808,0.737,5,-7.912,1,0.0365,0.00959,0.00411,0.0497,0.923,132.326,"audio_features","3qoszL1tH1tYkdJIVisYIZ","spotify:track:3qoszL1tH1tYkdJIVisYIZ","https://api.spotify.com/v1/tracks/3qoszL1tH1tYkdJIVisYIZ","https://api.spotify.com/v1/audio-analysis/3qoszL1tH1tYkdJIVisYIZ",310587,4
"4",3,0.446,0.912,1,-6.649,1,0.0438,3.77e-06,3.66e-05,0.0759,0.31,113.88,"audio_features","46nYeZImWSsOebaCUrfEW1","spotify:track:46nYeZImWSsOebaCUrfEW1","https://api.spotify.com/v1/tracks/46nYeZImWSsOebaCUrfEW1","https://api.spotify.com/v1/audio-analysis/46nYeZImWSsOebaCUrfEW1",324809,1
"5",4,0.684,0.763,7,-6.861,0,0.046,0.0438,7.68e-05,0.0916,0.678,99.918,"audio_features","0LJgnWjRvbM60ieEVAJcAO","spotify:track:0LJgnWjRvbM60ieEVAJcAO","https://api.spotify.com/v1/tracks/0LJgnWjRvbM60ieEVAJcAO","https://api.spotify.com/v1/audio-analysis/0LJgnWjRvbM60ieEVAJcAO",271707,4
"6",5,0.532,0.971,0,-6.55,1,0.0926,0.00396,0.000718,0.604,0.326,150.283,"audio_features","3ecrhFRVdaacQn5QUSxEqh","spotify:track:3ecrhFRVdaacQn5QUSxEqh","https://api.spotify.com/v1/tracks/3ecrhFRVdaacQn5QUSxEqh","https://api.spotify.com/v1/audio-analysis/3ecrhFRVdaacQn5QUSxEqh",186907,4
"7",6,0.641,0.739,6,-7.31,0,0.0533,0.00514,0,0.101,0.814,80.804,"audio_features","2yUwi1Iv7nf0axqQHhPuHt","spotify:track:2yUwi1Iv7nf0axqQHhPuHt","https://api.spotify.com/v1/tracks/2yUwi1Iv7nf0axqQHhPuHt","https://api.spotify.com/v1/audio-analysis/2yUwi1Iv7nf0axqQHhPuHt",177200,4
"8",7,0.618,0.718,7,-7.807,1,0.0331,0.00551,9.11e-05,0.12,0.831,126.979,"audio_features","4l6gI2I2qhmOyR4fw31mae","spotify:track:4l6gI2I2qhmOyR4fw31mae","https://api.spotify.com/v1/tracks/4l6gI2I2qhmOyR4fw31mae","https://api.spotify.com/v1/audio-analysis/4l6gI2I2qhmOyR4fw31mae",245360,4
"9",8,0.363,0.88,7,-6.646,1,0.0438,0.0056,0.00141,0.0949,0.612,87.587,"audio_features","0fIfA0NWLI9Yj1ZYOxTt8h","spotify:track:0fIfA0NWLI9Yj1ZYOxTt8h","https://api.spotify.com/v1/tracks/0fIfA0NWLI9Yj1ZYOxTt8h","https://api.spotify.com/v1/audio-analysis/0fIfA0NWLI9Yj1ZYOxTt8h",272467,4
"10",9,0.774,0.495,2,-10.261,0,0.158,0.00215,1.1e-05,0.0719,0.802,92.204,"audio_features","3xpWFwYKHxGy8Im3N3TOY0","spotify:track:3xpWFwYKHxGy8Im3N3TOY0","https://api.spotify.com/v1/tracks/3xpWFwYKHxGy8Im3N3TOY0","https://api.spotify.com/v1/audio-analysis/3xpWFwYKHxGy8Im3N3TOY0",212547,4
