"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.349,0.657,7,-11.451,0,0.0541,0.00379,0.000758,0.0891,0.576,127.523,"audio_features","3AMth1gnz9PbQnEfUVZbp2","spotify:track:3AMth1gnz9PbQnEfUVZbp2","https://api.spotify.com/v1/tracks/3AMth1gnz9PbQnEfUVZbp2","https://api.spotify.com/v1/audio-analysis/3AMth1gnz9PbQnEfUVZbp2",317787,4
"2",1,0.378,0.738,5,-8.782,1,0.0681,0.00294,0.0247,0.353,0.392,115.148,"audio_features","5EhButiJbrrRbO3qguSKkg","spotify:track:5EhButiJbrrRbO3qguSKkg","https://api.spotify.com/v1/tracks/5EhButiJbrrRbO3qguSKkg","https://api.spotify.com/v1/audio-analysis/5EhButiJbrrRbO3qguSKkg",208693,4
"3",2,0.488,0.795,9,-4.157,0,0.0336,0.0387,0,0.0452,0.803,107.846,"audio_features","2bQn1ATsEIWwswbsPpOrp9","spotify:track:2bQn1ATsEIWwswbsPpOrp9","https://api.spotify.com/v1/tracks/2bQn1ATsEIWwswbsPpOrp9","https://api.spotify.com/v1/audio-analysis/2bQn1ATsEIWwswbsPpOrp9",236427,4
"4",3,0.556,0.676,7,-5.714,1,0.0963,0.164,3e-06,0.109,0.423,147.573,"audio_features","1H744xH35bcdHOnENpV3lm","spotify:track:1H744xH35bcdHOnENpV3lm","https://api.spotify.com/v1/tracks/1H744xH35bcdHOnENpV3lm","https://api.spotify.com/v1/audio-analysis/1H744xH35bcdHOnENpV3lm",227867,4
"5",4,0.551,0.865,7,-6.369,1,0.0723,0.033,1.59e-06,0.244,0.775,159.981,"audio_features","0SpADxMGryCt6r9rdlkdZ8","spotify:track:0SpADxMGryCt6r9rdlkdZ8","https://api.spotify.com/v1/tracks/0SpADxMGryCt6r9rdlkdZ8","https://api.spotify.com/v1/audio-analysis/0SpADxMGryCt6r9rdlkdZ8",232360,4
"6",5,0.671,0.976,4,-2.913,1,0.105,0.0741,0,0.593,0.374,115.116,"audio_features","0lnbIDYQKrD9VzNq3Ezyn2","spotify:track:0lnbIDYQKrD9VzNq3Ezyn2","https://api.spotify.com/v1/tracks/0lnbIDYQKrD9VzNq3Ezyn2","https://api.spotify.com/v1/audio-analysis/0lnbIDYQKrD9VzNq3Ezyn2",259973,4
"7",6,0.35,0.894,9,-4.587,0,0.0706,0.0204,0,0.138,0.46,167.321,"audio_features","1jU7sUPTdYEzAvrFn6po5l","spotify:track:1jU7sUPTdYEzAvrFn6po5l","https://api.spotify.com/v1/tracks/1jU7sUPTdYEzAvrFn6po5l","https://api.spotify.com/v1/audio-analysis/1jU7sUPTdYEzAvrFn6po5l",173093,4
"8",7,0.839,0.708,1,-3.442,0,0.0315,0.0456,0.00995,0.229,0.968,91.982,"audio_features","41HtuYF8CDPwiQF6GOoBBi","spotify:track:41HtuYF8CDPwiQF6GOoBBi","https://api.spotify.com/v1/tracks/41HtuYF8CDPwiQF6GOoBBi","https://api.spotify.com/v1/audio-analysis/41HtuYF8CDPwiQF6GOoBBi",234227,4
"9",8,0.548,0.495,9,-7.736,1,0.0325,0.539,3.01e-06,0.174,0.502,121.288,"audio_features","7zpNN01FLMP70EYGcxCCDY","spotify:track:7zpNN01FLMP70EYGcxCCDY","https://api.spotify.com/v1/tracks/7zpNN01FLMP70EYGcxCCDY","https://api.spotify.com/v1/audio-analysis/7zpNN01FLMP70EYGcxCCDY",272520,4
"10",9,0.376,0.889,11,-5.656,1,0.0405,0.011,0.0189,0.112,0.569,147.881,"audio_features","25zzsohqoFVwqS1b3ICe4i","spotify:track:25zzsohqoFVwqS1b3ICe4i","https://api.spotify.com/v1/tracks/25zzsohqoFVwqS1b3ICe4i","https://api.spotify.com/v1/audio-analysis/25zzsohqoFVwqS1b3ICe4i",250400,4
"11",10,0.561,0.904,0,-4.808,1,0.0292,0.0642,6.26e-05,0.248,0.781,105.712,"audio_features","6As9jWGwGowXeSd2OiQzeg","spotify:track:6As9jWGwGowXeSd2OiQzeg","https://api.spotify.com/v1/tracks/6As9jWGwGowXeSd2OiQzeg","https://api.spotify.com/v1/audio-analysis/6As9jWGwGowXeSd2OiQzeg",244253,4
"12",11,0.676,0.891,6,-5.197,0,0.0364,0.25,0.00102,0.418,0.912,135.095,"audio_features","58fFlF7sOSo0eOgNajFWO9","spotify:track:58fFlF7sOSo0eOgNajFWO9","https://api.spotify.com/v1/tracks/58fFlF7sOSo0eOgNajFWO9","https://api.spotify.com/v1/audio-analysis/58fFlF7sOSo0eOgNajFWO9",141600,4
