"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,"audio_features","4LRPiXqCikLlN15c3yImP7","spotify:track:4LRPiXqCikLlN15c3yImP7","https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7","https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7",167303,4
"2",1,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,"audio_features","37BZB0z9T8Xu7U3e65qxFy","spotify:track:37BZB0z9T8Xu7U3e65qxFy","https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy","https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy",191014,4
"3",2,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,"audio_features","0z8hI3OPS8ADPWtoCjjLl6","spotify:track:0z8hI3OPS8ADPWtoCjjLl6","https://api.spotify.com/v1/tracks/0z8hI3OPS8ADPWtoCjjLl6","https://api.spotify.com/v1/audio-analysis/0z8hI3OPS8ADPWtoCjjLl6",184104,4
"4",3,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,"audio_features","0HqZX76SFLDz2aW8aiqi7G","spotify:track:0HqZX76SFLDz2aW8aiqi7G","https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G","https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G",165265,4
"5",4,0.589,0.842,5,-4.86,1,0.0372,0.00178,0,0.113,0.657,164.163,"audio_features","35COLcFjvONwVv6jkG23gI","spotify:track:35COLcFjvONwVv6jkG23gI","https://api.spotify.com/v1/tracks/35COLcFjvONwVv6jkG23gI","https://api.spotify.com/v1/audio-analysis/35COLcFjvONwVv6jkG23gI",136012,4
"6",5,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,"audio_features","3uwnnTQcHM1rDqSfA4gQNz","spotify:track:3uwnnTQcHM1rDqSfA4gQNz","https://api.spotify.com/v1/tracks/3uwnnTQcHM1rDqSfA4gQNz","https://api.spotify.com/v1/audio-analysis/3uwnnTQcHM1rDqSfA4gQNz",214740,4
"7",6,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,"audio_features","0bI7K9Becu2dtXK1Q3cZNB","spotify:track:0bI7K9Becu2dtXK1Q3cZNB","https://api.spotify.com/v1/tracks/0bI7K9Becu2dtXK1Q3cZNB","https://api.spotify.com/v1/audio-analysis/0bI7K9Becu2dtXK1Q3cZNB",140500,4
"8",7,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,"audio_features","2UN0lp72LAusrXi8LLVomt","spotify:track:2UN0lp72LAusrXi8LLVomt","https://api.spotify.com/v1/tracks/2UN0lp72LAusrXi8LLVomt","https://api.spotify.com/v1/audio-analysis/2UN0lp72LAusrXi8LLVomt",163450,4
"9",8,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,"audio_features","6Uj1ctrBOjOas8xZXGqKk4","spotify:track:6Uj1ctrBOjOas8xZXGqKk4","https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4","https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4",172627,4
"10",9,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,"audio_features","3FeVmId7tL5YN8B7R3imoM","spotify:track:3FeVmId7tL5YN8B7R3imoM","https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM","https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM",228000,4
"11",10,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,"audio_features","1058fW9H3fZA6QjYCdOBad","spotify:track:1058fW9H3fZA6QjYCdOBad","https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad","https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad",164842,4
