"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.338,0.133,2,-19.551,1,0.0439,0.986,0.956,0.105,0.476,162.192,"audio_features","3rmZFDYPX15MEQ6AQnHns4","spotify:track:3rmZFDYPX15MEQ6AQnHns4","https://api.spotify.com/v1/tracks/3rmZFDYPX15MEQ6AQnHns4","https://api.spotify.com/v1/audio-analysis/3rmZFDYPX15MEQ6AQnHns4",165875,4
"2",1,0.265,0.0322,0,-36.465,1,0.0409,0.994,0.945,0.103,0.173,72.061,"audio_features","4FE6B3aPquKm2oIzJskIXh","spotify:track:4FE6B3aPquKm2oIzJskIXh","https://api.spotify.com/v1/tracks/4FE6B3aPquKm2oIzJskIXh","https://api.spotify.com/v1/audio-analysis/4FE6B3aPquKm2oIzJskIXh",189450,3
"3",2,0.372,0.18,10,-19.471,1,0.0392,0.982,0.938,0.128,0.0473,68.352,"audio_features","4KQowzyWAnayz67iVezIdx","spotify:track:4KQowzyWAnayz67iVezIdx","https://api.spotify.com/v1/tracks/4KQowzyWAnayz67iVezIdx","https://api.spotify.com/v1/audio-analysis/4KQowzyWAnayz67iVezIdx",219424,4
"4",3,0.716,0.0317,7,-19.614,1,0.149,0.986,0.938,0.111,0.146,70.613,"audio_features","0dmZZobJI37bBelsJAplM0","spotify:track:0dmZZobJI37bBelsJAplM0","https://api.spotify.com/v1/tracks/0dmZZobJI37bBelsJAplM0","https://api.spotify.com/v1/audio-analysis/0dmZZobJI37bBelsJAplM0",208000,3
"5",4,0.607,0.207,1,-20.725,0,0.0385,0.986,0.916,0.132,0.482,131.998,"audio_features","5JLIaeEcAchovIEEYPZdqh","spotify:track:5JLIaeEcAchovIEEYPZdqh","https://api.spotify.com/v1/tracks/5JLIaeEcAchovIEEYPZdqh","https://api.spotify.com/v1/audio-analysis/5JLIaeEcAchovIEEYPZdqh",115027,3
"6",5,0.445,0.167,10,-16.029,1,0.0359,0.975,0.846,0.0903,0.154,66.359,"audio_features","5xPLz5UzaJUjw2EoLQOfn9","spotify:track:5xPLz5UzaJUjw2EoLQOfn9","https://api.spotify.com/v1/tracks/5xPLz5UzaJUjw2EoLQOfn9","https://api.spotify.com/v1/audio-analysis/5xPLz5UzaJUjw2EoLQOfn9",273000,3
"7",6,0.214,0.334,1,-21.273,0,0.0298,0.981,0.925,0.181,0.147,182.918,"audio_features","5ERPZwkc3ZpoHNWc2GZtpP","spotify:track:5ERPZwkc3ZpoHNWc2GZtpP","https://api.spotify.com/v1/tracks/5ERPZwkc3ZpoHNWc2GZtpP","https://api.spotify.com/v1/audio-analysis/5ERPZwkc3ZpoHNWc2GZtpP",187316,4
"8",7,0.332,0.08,1,-23.03,0,0.0398,0.973,0.918,0.0927,0.115,119.475,"audio_features","6vYdgGC5ELofKF51ZkkLLV","spotify:track:6vYdgGC5ELofKF51ZkkLLV","https://api.spotify.com/v1/tracks/6vYdgGC5ELofKF51ZkkLLV","https://api.spotify.com/v1/audio-analysis/6vYdgGC5ELofKF51ZkkLLV",248235,3
"9",8,0.281,0.0325,7,-19.086,1,0.0499,0.993,0.96,0.105,0.322,167.943,"audio_features","6dN5cdu6czlaLG3LN3PA8j","spotify:track:6dN5cdu6czlaLG3LN3PA8j","https://api.spotify.com/v1/tracks/6dN5cdu6czlaLG3LN3PA8j","https://api.spotify.com/v1/audio-analysis/6dN5cdu6czlaLG3LN3PA8j",114000,3
"10",9,0.365,0.0679,5,-22.884,1,0.0551,0.991,0.925,0.108,0.423,66.738,"audio_features","34TSoTDrP8InOtV0Xd77W1","spotify:track:34TSoTDrP8InOtV0Xd77W1","https://api.spotify.com/v1/tracks/34TSoTDrP8InOtV0Xd77W1","https://api.spotify.com/v1/audio-analysis/34TSoTDrP8InOtV0Xd77W1",61074,3
"11",10,0.587,0.136,3,-18.737,1,0.0311,0.985,0.875,0.111,0.356,95.966,"audio_features","6nLwifI2Y4zUHS5sC4M3Ag","spotify:track:6nLwifI2Y4zUHS5sC4M3Ag","https://api.spotify.com/v1/tracks/6nLwifI2Y4zUHS5sC4M3Ag","https://api.spotify.com/v1/audio-analysis/6nLwifI2Y4zUHS5sC4M3Ag",247187,3
