"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.787,0.63,0,-12.295,1,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,"audio_features","6J6RWKCPN5RFKHUKEUFjxS","spotify:track:6J6RWKCPN5RFKHUKEUFjxS","https://api.spotify.com/v1/tracks/6J6RWKCPN5RFKHUKEUFjxS","https://api.spotify.com/v1/audio-analysis/6J6RWKCPN5RFKHUKEUFjxS",267293,4
"2",1,0.844,0.808,2,-5.335,0,0.0311,0.0114,1e-06,0.11,0.922,104,"audio_features","0LVOVRUo33lCAHNCMLY46w","spotify:track:0LVOVRUo33lCAHNCMLY46w","https://api.spotify.com/v1/tracks/0LVOVRUo33lCAHNCMLY46w","https://api.spotify.com/v1/audio-analysis/0LVOVRUo33lCAHNCMLY46w",247800,4
"3",2,0.686,0.915,7,-4.447,1,0.0364,0.0028,7.16e-06,0.233,0.796,110.054,"audio_features","594M0rqYMOo8BhMGEdoi5C","spotify:track:594M0rqYMOo8BhMGEdoi5C","https://api.spotify.com/v1/tracks/594M0rqYMOo8BhMGEdoi5C","https://api.spotify.com/v1/audio-analysis/594M0rqYMOo8BhMGEdoi5C",211000,4
"4",3,0.758,0.93,8,-3.22,0,0.0425,0.0503,0.000226,0.325,0.853,112.042,"audio_features","5YTMRAT4yKgFrepF8Hi3mY","spotify:track:5YTMRAT4yKgFrepF8Hi3mY","https://api.spotify.com/v1/tracks/5YTMRAT4yKgFrepF8Hi3mY","https://api.spotify.com/v1/audio-analysis/5YTMRAT4yKgFrepF8Hi3mY",202107,4
"5",4,0.852,0.904,2,-3.86,1,0.04,0.129,0.00268,0.131,0.944,126.686,"audio_features","3Ofyc3TZwyhs8edbGznuah","spotify:track:3Ofyc3TZwyhs8edbGznuah","https://api.spotify.com/v1/tracks/3Ofyc3TZwyhs8edbGznuah","https://api.spotify.com/v1/audio-analysis/3Ofyc3TZwyhs8edbGznuah",281867,4
"6",5,0.753,0.876,0,-4.816,1,0.0579,0.0261,0,0.306,0.694,112.994,"audio_features","0aYMFyDeGgOIUUMqfGYg00","spotify:track:0aYMFyDeGgOIUUMqfGYg00","https://api.spotify.com/v1/tracks/0aYMFyDeGgOIUUMqfGYg00","https://api.spotify.com/v1/audio-analysis/0aYMFyDeGgOIUUMqfGYg00",215867,4
"7",6,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,"audio_features","62bOmKYxYg7dhrC6gH9vFn","spotify:track:62bOmKYxYg7dhrC6gH9vFn","https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn","https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn",200400,4
"8",7,0.81,0.957,1,-6.049,0,0.0364,0.0165,0.284,0.248,0.962,129.985,"audio_features","2RSOzvKUnfDDrb2nQPfpQU","spotify:track:2RSOzvKUnfDDrb2nQPfpQU","https://api.spotify.com/v1/tracks/2RSOzvKUnfDDrb2nQPfpQU","https://api.spotify.com/v1/audio-analysis/2RSOzvKUnfDDrb2nQPfpQU",197773,4
"9",8,0.556,0.993,1,-5.067,1,0.0464,0.0105,0.0341,0.403,0.702,124.016,"audio_features","5qGwqO0lkbBXw4xNfzT7SF","spotify:track:5qGwqO0lkbBXw4xNfzT7SF","https://api.spotify.com/v1/tracks/5qGwqO0lkbBXw4xNfzT7SF","https://api.spotify.com/v1/audio-analysis/5qGwqO0lkbBXw4xNfzT7SF",173667,4
"10",9,0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,"audio_features","3cfOd4CMv2snFaKAnMdnvK","spotify:track:3cfOd4CMv2snFaKAnMdnvK","https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK","https://api.spotify.com/v1/audio-analysis/3cfOd4CMv2snFaKAnMdnvK",200373,4
