"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"22",21,0.532,0.178,9,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,"audio_features","6MiVIH3fQlmz44jGx2DXn4","spotify:track:6MiVIH3fQlmz44jGx2DXn4","https://api.spotify.com/v1/tracks/6MiVIH3fQlmz44jGx2DXn4","https://api.spotify.com/v1/audio-analysis/6MiVIH3fQlmz44jGx2DXn4",181467,3
"23",22,0.825,0.304,5,-11.597,1,0.101,0.14,0.000498,0.147,0.3,84.927,"audio_features","6gGBL1uMBcNUOzSYfKreID","spotify:track:6gGBL1uMBcNUOzSYfKreID","https://api.spotify.com/v1/tracks/6gGBL1uMBcNUOzSYfKreID","https://api.spotify.com/v1/audio-analysis/6gGBL1uMBcNUOzSYfKreID",140973,4
"24",23,0.692,0.69,0,-6.152,0,0.055,0.035,0,0.068,0.362,143.965,"audio_features","2Kp74xf5Ot0csi3n3kXwBr","spotify:track:2Kp74xf5Ot0csi3n3kXwBr","https://api.spotify.com/v1/tracks/2Kp74xf5Ot0csi3n3kXwBr","https://api.spotify.com/v1/audio-analysis/2Kp74xf5Ot0csi3n3kXwBr",226360,3
"25",24,0.906,0.474,1,-4.704,1,0.0515,0.0658,6.52e-06,0.0681,0.204,124.979,"audio_features","6ah7L6ijOMMlOabQzuJGUB","spotify:track:6ah7L6ijOMMlOabQzuJGUB","https://api.spotify.com/v1/tracks/6ah7L6ijOMMlOabQzuJGUB","https://api.spotify.com/v1/audio-analysis/6ah7L6ijOMMlOabQzuJGUB",205800,4
"26",25,0.769,0.632,10,-4.228,0,0.0537,0.0325,0,0.116,0.294,131.932,"audio_features","4cg1yakyRSIOjxKM2I7J1q","spotify:track:4cg1yakyRSIOjxKM2I7J1q","https://api.spotify.com/v1/tracks/4cg1yakyRSIOjxKM2I7J1q","https://api.spotify.com/v1/audio-analysis/4cg1yakyRSIOjxKM2I7J1q",176387,4
"27",26,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,"audio_features","6gBFPUFcJLzWGx4lenP6h2","spotify:track:6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2",243837,4
"28",27,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,"audio_features","7MXVkk9YMctZqd1Srtv4MB","spotify:track:7MXVkk9YMctZqd1Srtv4MB","https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB","https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB",230453,4
"29",28,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,"audio_features","7fBv7CLKzipRk6EC6TWHOB","spotify:track:7fBv7CLKzipRk6EC6TWHOB","https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB","https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB",242253,4
"30",29,0.805,0.33,1,-8.712,0,0.1,0.22,0,0.105,0.211,121.97,"audio_features","7t2bFihaDvhIrd2gn2CWJO","spotify:track:7t2bFihaDvhIrd2gn2CWJO","https://api.spotify.com/v1/tracks/7t2bFihaDvhIrd2gn2CWJO","https://api.spotify.com/v1/audio-analysis/7t2bFihaDvhIrd2gn2CWJO",242983,4
"31",30,0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,124.952,"audio_features","7tGlzXJv6GD5e5qlu5YmDg","spotify:track:7tGlzXJv6GD5e5qlu5YmDg","https://api.spotify.com/v1/tracks/7tGlzXJv6GD5e5qlu5YmDg","https://api.spotify.com/v1/audio-analysis/7tGlzXJv6GD5e5qlu5YmDg",253440,4
"32",31,0.749,0.547,8,-6.778,0,0.144,0.0135,0,0.118,0.343,127.054,"audio_features","0nPGZNoj1fUNMQdNCwEeda","spotify:track:0nPGZNoj1fUNMQdNCwEeda","https://api.spotify.com/v1/tracks/0nPGZNoj1fUNMQdNCwEeda","https://api.spotify.com/v1/audio-analysis/0nPGZNoj1fUNMQdNCwEeda",260127,4
"33",32,0.62,0.613,0,-5.83,1,0.0795,0.0607,0,0.117,0.483,82.43,"audio_features","1wN6UMOnoOWqqQ6MY5R09T","spotify:track:1wN6UMOnoOWqqQ6MY5R09T","https://api.spotify.com/v1/tracks/1wN6UMOnoOWqqQ6MY5R09T","https://api.spotify.com/v1/audio-analysis/1wN6UMOnoOWqqQ6MY5R09T",232733,4
"34",33,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,"audio_features","7FEwp8BavoEVE3AnxJDchc","spotify:track:7FEwp8BavoEVE3AnxJDchc","https://api.spotify.com/v1/tracks/7FEwp8BavoEVE3AnxJDchc","https://api.spotify.com/v1/audio-analysis/7FEwp8BavoEVE3AnxJDchc",260640,4
"35",34,0.567,0.303,7,-12.481,0,0.0351,0.862,0.00563,0.104,0.252,124.949,"audio_features","5zT5cMnMKoyruPj13TQXGx","spotify:track:5zT5cMnMKoyruPj13TQXGx","https://api.spotify.com/v1/tracks/5zT5cMnMKoyruPj13TQXGx","https://api.spotify.com/v1/audio-analysis/5zT5cMnMKoyruPj13TQXGx",273000,4
"36",35,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,"audio_features","7MiZjKawmXTsTNePyTfPyL","spotify:track:7MiZjKawmXTsTNePyTfPyL","https://api.spotify.com/v1/tracks/7MiZjKawmXTsTNePyTfPyL","https://api.spotify.com/v1/audio-analysis/7MiZjKawmXTsTNePyTfPyL",131272,5
"37",36,0.377,0.329,0,-9.67,0,0.0569,0.131,0.00654,0.279,0.0528,173.663,"audio_features","3H3qBumaYj67PT3aMEBvAP","spotify:track:3H3qBumaYj67PT3aMEBvAP","https://api.spotify.com/v1/tracks/3H3qBumaYj67PT3aMEBvAP","https://api.spotify.com/v1/audio-analysis/3H3qBumaYj67PT3aMEBvAP",340493,4
