"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.856,0.618,7,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993,"audio_features","2XIc1pqjXV3Cr2BQUGNBck","spotify:track:2XIc1pqjXV3Cr2BQUGNBck","https://api.spotify.com/v1/tracks/2XIc1pqjXV3Cr2BQUGNBck","https://api.spotify.com/v1/audio-analysis/2XIc1pqjXV3Cr2BQUGNBck",203201,4
"2",1,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,"audio_features","5RubKOuDoPn5Kj5TLVxSxY","spotify:track:5RubKOuDoPn5Kj5TLVxSxY","https://api.spotify.com/v1/tracks/5RubKOuDoPn5Kj5TLVxSxY","https://api.spotify.com/v1/audio-analysis/5RubKOuDoPn5Kj5TLVxSxY",130014,4
"3",2,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,"audio_features","4MzXwWMhyBbmu6hOcLVD49","spotify:track:4MzXwWMhyBbmu6hOcLVD49","https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49","https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49",205090,4
"4",3,0.612,0.561,1,-6.054,1,0.0851,0.0601,0,0.145,0.393,191.911,"audio_features","5jZ32WOU7sqzDYbzINwMUk","spotify:track:5jZ32WOU7sqzDYbzINwMUk","https://api.spotify.com/v1/tracks/5jZ32WOU7sqzDYbzINwMUk","https://api.spotify.com/v1/audio-analysis/5jZ32WOU7sqzDYbzINwMUk",163053,4
"5",4,0.693,0.549,2,-6.098,1,0.0577,0.505,4.73e-05,0.324,0.473,139.988,"audio_features","7kjEqI6eZ7YlFrGhxixnlN","spotify:track:7kjEqI6eZ7YlFrGhxixnlN","https://api.spotify.com/v1/tracks/7kjEqI6eZ7YlFrGhxixnlN","https://api.spotify.com/v1/audio-analysis/7kjEqI6eZ7YlFrGhxixnlN",221187,4
"6",5,0.716,0.522,5,-6.834,1,0.0582,0.166,6.5e-05,0.113,0.224,76.993,"audio_features","36DHxTW2xdr9GG15T9oK9L","spotify:track:36DHxTW2xdr9GG15T9oK9L","https://api.spotify.com/v1/tracks/36DHxTW2xdr9GG15T9oK9L","https://api.spotify.com/v1/audio-analysis/36DHxTW2xdr9GG15T9oK9L",165199,4
"7",6,0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,"audio_features","0Lsis3LB0XAK6XlTHXaJk2","spotify:track:0Lsis3LB0XAK6XlTHXaJk2","https://api.spotify.com/v1/tracks/0Lsis3LB0XAK6XlTHXaJk2","https://api.spotify.com/v1/audio-analysis/0Lsis3LB0XAK6XlTHXaJk2",213609,4
"8",7,0.636,0.656,2,-5.542,0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,"audio_features","3KJ3opyV29269SXkPrc19l","spotify:track:3KJ3opyV29269SXkPrc19l","https://api.spotify.com/v1/tracks/3KJ3opyV29269SXkPrc19l","https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l",151506,4
"9",8,0.688,0.881,7,-4.889,0,0.0474,0.0947,0,0.0804,0.677,123.013,"audio_features","5fROvzNghPid8mbKNDYvpJ","spotify:track:5fROvzNghPid8mbKNDYvpJ","https://api.spotify.com/v1/tracks/5fROvzNghPid8mbKNDYvpJ","https://api.spotify.com/v1/audio-analysis/5fROvzNghPid8mbKNDYvpJ",191526,4
"10",9,0.643,0.727,1,-5.506,1,0.0389,0.0439,0,0.123,0.295,90.019,"audio_features","67ACYA3UI6QMNtHX6b34wX","spotify:track:67ACYA3UI6QMNtHX6b34wX","https://api.spotify.com/v1/tracks/67ACYA3UI6QMNtHX6b34wX","https://api.spotify.com/v1/audio-analysis/67ACYA3UI6QMNtHX6b34wX",162299,4
