"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,"audio_features","7qEHsqek33rTcFNT9PFqLf","spotify:track:7qEHsqek33rTcFNT9PFqLf","https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf","https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf",182161,4
"2",1,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,"audio_features","5kqIPrATaCc2LqxVWzQGbk","spotify:track:5kqIPrATaCc2LqxVWzQGbk","https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk","https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk",237300,4
"3",2,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,"audio_features","0u2P5u6lvoDfwTYjAADbn4","spotify:track:0u2P5u6lvoDfwTYjAADbn4","https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4","https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4",200186,4
"4",3,0.623,0.276,5,-8.893,0,0.0287,0.89,0,0.146,0.308,99.623,"audio_features","29f11nLUcMYQ2Ndbnb7N0o","spotify:track:29f11nLUcMYQ2Ndbnb7N0o","https://api.spotify.com/v1/tracks/29f11nLUcMYQ2Ndbnb7N0o","https://api.spotify.com/v1/audio-analysis/29f11nLUcMYQ2Ndbnb7N0o",187621,4
"5",4,0.862,0.448,2,-11.693,1,0.175,0.743,3e-05,0.112,0.436,114.858,"audio_features","1AN3PM8uQl8oFaJYhPoArV","spotify:track:1AN3PM8uQl8oFaJYhPoArV","https://api.spotify.com/v1/tracks/1AN3PM8uQl8oFaJYhPoArV","https://api.spotify.com/v1/audio-analysis/1AN3PM8uQl8oFaJYhPoArV",116870,4
"6",5,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,"audio_features","3GVkPk8mqxz0itaAriG1L7","spotify:track:3GVkPk8mqxz0itaAriG1L7","https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7","https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7",95467,4
"7",6,0.514,0.292,9,-11.768,0,0.0291,0.827,0.00223,0.0926,0.157,90.459,"audio_features","5VFzIzR8nACf9Bad4O73f6","spotify:track:5VFzIzR8nACf9Bad4O73f6","https://api.spotify.com/v1/tracks/5VFzIzR8nACf9Bad4O73f6","https://api.spotify.com/v1/audio-analysis/5VFzIzR8nACf9Bad4O73f6",218587,4
"8",7,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,"audio_features","6Vc5wAMmXdKIAM7WUoEb7N","spotify:track:6Vc5wAMmXdKIAM7WUoEb7N","https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N","https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N",229400,3
"9",8,0.45,0.448,9,-10.702,1,0.07,0.0739,0,0.185,0.1,88.481,"audio_features","0XzWo2jShoYC7pnKHQCG5u","spotify:track:0XzWo2jShoYC7pnKHQCG5u","https://api.spotify.com/v1/tracks/0XzWo2jShoYC7pnKHQCG5u","https://api.spotify.com/v1/audio-analysis/0XzWo2jShoYC7pnKHQCG5u",165000,4
"10",9,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,"audio_features","43zdsphuZLzwA9k4DJhU0I","spotify:track:43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I",196077,4
"11",10,0.409,0.137,6,-9.169,1,0.0446,0.928,0,0.0706,0.106,162.08,"audio_features","26z6V1SijQq6J3gPIu1H7t","spotify:track:26z6V1SijQq6J3gPIu1H7t","https://api.spotify.com/v1/tracks/26z6V1SijQq6J3gPIu1H7t","https://api.spotify.com/v1/audio-analysis/26z6V1SijQq6J3gPIu1H7t",225076,1
"12",11,0.507,0.204,0,-11.575,1,0.0504,0.855,0,0.143,0.343,77.765,"audio_features","1ugQtcwmKOXvKAYzhjncmv","spotify:track:1ugQtcwmKOXvKAYzhjncmv","https://api.spotify.com/v1/tracks/1ugQtcwmKOXvKAYzhjncmv","https://api.spotify.com/v1/audio-analysis/1ugQtcwmKOXvKAYzhjncmv",179120,4
"13",12,0.498,0.235,1,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,"audio_features","4ZLzoOkj0MPWrTLvooIuaa","spotify:track:4ZLzoOkj0MPWrTLvooIuaa","https://api.spotify.com/v1/tracks/4ZLzoOkj0MPWrTLvooIuaa","https://api.spotify.com/v1/audio-analysis/4ZLzoOkj0MPWrTLvooIuaa",179080,4
"14",13,0.455,0.494,3,-6.721,1,0.0387,0.563,1.83e-06,0.127,0.0399,148.303,"audio_features","1r5TV6xbfqt3FolQ7aHiuj","spotify:track:1r5TV6xbfqt3FolQ7aHiuj","https://api.spotify.com/v1/tracks/1r5TV6xbfqt3FolQ7aHiuj","https://api.spotify.com/v1/audio-analysis/1r5TV6xbfqt3FolQ7aHiuj",213243,4
"15",14,0.529,0.487,9,-8.21,0,0.0421,0.272,0,0.0797,0.36,149.984,"audio_features","17OYmjqsdj0IczGfVfqWCN","spotify:track:17OYmjqsdj0IczGfVfqWCN","https://api.spotify.com/v1/tracks/17OYmjqsdj0IczGfVfqWCN","https://api.spotify.com/v1/audio-analysis/17OYmjqsdj0IczGfVfqWCN",124056,4
