"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.415,0.202,0,-16.016,0,0.0398,0.972,0.884,0.0894,0.112,93.678,"audio_features","1NfZx14QUowIqvpYyStE3I","spotify:track:1NfZx14QUowIqvpYyStE3I","https://api.spotify.com/v1/tracks/1NfZx14QUowIqvpYyStE3I","https://api.spotify.com/v1/audio-analysis/1NfZx14QUowIqvpYyStE3I",435667,4
"2",1,0.302,0.229,0,-16.052,1,0.0459,0.982,0.935,0.145,0.126,140.33,"audio_features","7bnSPZQTtPIJ3JBy9bJTSE","spotify:track:7bnSPZQTtPIJ3JBy9bJTSE","https://api.spotify.com/v1/tracks/7bnSPZQTtPIJ3JBy9bJTSE","https://api.spotify.com/v1/audio-analysis/7bnSPZQTtPIJ3JBy9bJTSE",622359,3
"3",2,0.507,0.118,7,-17.648,1,0.0524,0.925,0.862,0.0854,0.402,136.363,"audio_features","4CacBUHlgPo7bK7FX4DiXL","spotify:track:4CacBUHlgPo7bK7FX4DiXL","https://api.spotify.com/v1/tracks/4CacBUHlgPo7bK7FX4DiXL","https://api.spotify.com/v1/audio-analysis/4CacBUHlgPo7bK7FX4DiXL",349907,4
"4",3,0.321,0.497,2,-13.187,1,0.0456,0.827,0.646,0.171,0.257,134.717,"audio_features","2eoX63MjyeIBuopR6kxYPT","spotify:track:2eoX63MjyeIBuopR6kxYPT","https://api.spotify.com/v1/tracks/2eoX63MjyeIBuopR6kxYPT","https://api.spotify.com/v1/audio-analysis/2eoX63MjyeIBuopR6kxYPT",202560,4
"5",4,0.466,0.282,9,-12.783,1,0.037,0.956,0.861,0.197,0.688,105.152,"audio_features","08S9x2dpNKMWvQ0wgowaN3","spotify:track:08S9x2dpNKMWvQ0wgowaN3","https://api.spotify.com/v1/tracks/08S9x2dpNKMWvQ0wgowaN3","https://api.spotify.com/v1/audio-analysis/08S9x2dpNKMWvQ0wgowaN3",216869,3
"6",5,0.344,0.208,1,-11.357,1,0.034,0.781,0.136,0.13,0.458,170.982,"audio_features","3d4TlV9YkNyH2CLWopxVrw","spotify:track:3d4TlV9YkNyH2CLWopxVrw","https://api.spotify.com/v1/tracks/3d4TlV9YkNyH2CLWopxVrw","https://api.spotify.com/v1/audio-analysis/3d4TlV9YkNyH2CLWopxVrw",232000,3
"7",6,0.174,0.0599,10,-26.998,1,0.0406,0.96,0.0946,0.0926,0.0396,133.709,"audio_features","1PCMHr32vdaBbniN2DrMTw","spotify:track:1PCMHr32vdaBbniN2DrMTw","https://api.spotify.com/v1/tracks/1PCMHr32vdaBbniN2DrMTw","https://api.spotify.com/v1/audio-analysis/1PCMHr32vdaBbniN2DrMTw",341427,3
"8",7,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,"audio_features","1QGN2Perfetpju3762mJsk","spotify:track:1QGN2Perfetpju3762mJsk","https://api.spotify.com/v1/tracks/1QGN2Perfetpju3762mJsk","https://api.spotify.com/v1/audio-analysis/1QGN2Perfetpju3762mJsk",188467,3
"9",8,0.387,0.0652,4,-25.26,1,0.0546,0.868,0.134,0.149,0.348,93.427,"audio_features","4dOhuIlNMAXeCQjTq3yQMa","spotify:track:4dOhuIlNMAXeCQjTq3yQMa","https://api.spotify.com/v1/tracks/4dOhuIlNMAXeCQjTq3yQMa","https://api.spotify.com/v1/audio-analysis/4dOhuIlNMAXeCQjTq3yQMa",435267,4
"10",9,0.324,0.116,2,-17.592,1,0.038,0.89,0.917,0.107,0.186,141.796,"audio_features","4miwFiLiZfOVyLJha9aael","spotify:track:4miwFiLiZfOVyLJha9aael","https://api.spotify.com/v1/tracks/4miwFiLiZfOVyLJha9aael","https://api.spotify.com/v1/audio-analysis/4miwFiLiZfOVyLJha9aael",250000,4
"11",10,0.0796,0.0595,4,-17.283,1,0.0456,0.968,0.937,0.114,0.0379,72.014,"audio_features","56KYgNQl6qG36koAB40b8x","spotify:track:56KYgNQl6qG36koAB40b8x","https://api.spotify.com/v1/tracks/56KYgNQl6qG36koAB40b8x","https://api.spotify.com/v1/audio-analysis/56KYgNQl6qG36koAB40b8x",220217,3
"12",11,0.169,0.583,11,-10.48,1,0.039,0.863,0.882,0.272,0.157,82.923,"audio_features","0pTVBtkNSoizf2lifeeAch","spotify:track:0pTVBtkNSoizf2lifeeAch","https://api.spotify.com/v1/tracks/0pTVBtkNSoizf2lifeeAch","https://api.spotify.com/v1/audio-analysis/0pTVBtkNSoizf2lifeeAch",359373,3
"13",12,0.099,0.123,11,-18.441,0,0.0403,0.931,0.944,0.162,0.0596,72.881,"audio_features","5fUKjWT9DXC1yYRnvumMXe","spotify:track:5fUKjWT9DXC1yYRnvumMXe","https://api.spotify.com/v1/tracks/5fUKjWT9DXC1yYRnvumMXe","https://api.spotify.com/v1/audio-analysis/5fUKjWT9DXC1yYRnvumMXe",186907,4
"14",13,0.177,0.12,1,-16.844,1,0.0363,0.902,0.873,0.109,0.0668,139.154,"audio_features","6qb2pLAdXAEznB0wAG0PLX","spotify:track:6qb2pLAdXAEznB0wAG0PLX","https://api.spotify.com/v1/tracks/6qb2pLAdXAEznB0wAG0PLX","https://api.spotify.com/v1/audio-analysis/6qb2pLAdXAEznB0wAG0PLX",310320,3
"15",14,0.235,0.297,0,-12.54,0,0.036,0.945,0.861,0.194,0.35,174.75,"audio_features","4fpBwpf9iMpnwXORkqsrQn","spotify:track:4fpBwpf9iMpnwXORkqsrQn","https://api.spotify.com/v1/tracks/4fpBwpf9iMpnwXORkqsrQn","https://api.spotify.com/v1/audio-analysis/4fpBwpf9iMpnwXORkqsrQn",422121,3
"16",15,0.392,0.482,2,-8.511,1,0.0272,0.879,0.802,0.112,0.519,92.204,"audio_features","1ZZB2EesWu9GmGX7ED2VLh","spotify:track:1ZZB2EesWu9GmGX7ED2VLh","https://api.spotify.com/v1/tracks/1ZZB2EesWu9GmGX7ED2VLh","https://api.spotify.com/v1/audio-analysis/1ZZB2EesWu9GmGX7ED2VLh",264840,4
"17",16,0.339,0.34,5,-16.004,1,0.0406,0.717,2.06e-05,0.0845,0.77,126.986,"audio_features","2IMAMTrvNJStRj1opG5QFf","spotify:track:2IMAMTrvNJStRj1opG5QFf","https://api.spotify.com/v1/tracks/2IMAMTrvNJStRj1opG5QFf","https://api.spotify.com/v1/audio-analysis/2IMAMTrvNJStRj1opG5QFf",133093,4
"18",17,0.375,0.208,6,-12.955,1,0.0341,0.962,4.72e-06,0.0856,0.379,67.714,"audio_features","2CACso0N7JssbeKSdN4Drl","spotify:track:2CACso0N7JssbeKSdN4Drl","https://api.spotify.com/v1/tracks/2CACso0N7JssbeKSdN4Drl","https://api.spotify.com/v1/audio-analysis/2CACso0N7JssbeKSdN4Drl",143581,3
"19",18,0.229,0.318,10,-18.938,1,0.0652,0.993,0.894,0.632,0.105,124.704,"audio_features","2eLzvdZXUQ2Q1WKPVufbiM","spotify:track:2eLzvdZXUQ2Q1WKPVufbiM","https://api.spotify.com/v1/tracks/2eLzvdZXUQ2Q1WKPVufbiM","https://api.spotify.com/v1/audio-analysis/2eLzvdZXUQ2Q1WKPVufbiM",151039,4
"20",19,0.411,0.604,4,-10.909,1,0.0442,0.812,0.0769,0.133,0.526,144.918,"audio_features","0z3sni9WTzpvFwzQ8jd82f","spotify:track:0z3sni9WTzpvFwzQ8jd82f","https://api.spotify.com/v1/tracks/0z3sni9WTzpvFwzQ8jd82f","https://api.spotify.com/v1/audio-analysis/0z3sni9WTzpvFwzQ8jd82f",222213,4
"21",20,0.0869,0.236,2,-12.779,0,0.0325,0.626,0.849,0.114,0.0517,76.325,"audio_features","1gMrSr4Jl8oYoWTZSLNaBc","spotify:track:1gMrSr4Jl8oYoWTZSLNaBc","https://api.spotify.com/v1/tracks/1gMrSr4Jl8oYoWTZSLNaBc","https://api.spotify.com/v1/audio-analysis/1gMrSr4Jl8oYoWTZSLNaBc",585012,4
"22",21,0.34,0.186,10,-23.012,1,0.108,0.951,3.05e-05,0.704,0.386,102.978,"audio_features","1w9PLJML79buPhA7cZIdIX","spotify:track:1w9PLJML79buPhA7cZIdIX","https://api.spotify.com/v1/tracks/1w9PLJML79buPhA7cZIdIX","https://api.spotify.com/v1/audio-analysis/1w9PLJML79buPhA7cZIdIX",185973,1
"23",22,0.604,0.371,2,-9.256,1,0.0403,0.383,0.0682,0.0957,0.794,125.69,"audio_features","5d5XD2kovYy6FLjBD7xFUE","spotify:track:5d5XD2kovYy6FLjBD7xFUE","https://api.spotify.com/v1/tracks/5d5XD2kovYy6FLjBD7xFUE","https://api.spotify.com/v1/audio-analysis/5d5XD2kovYy6FLjBD7xFUE",202520,4
"24",23,0.428,0.306,0,-11.758,1,0.0333,0.983,0.916,0.179,0.24,71.754,"audio_features","1LkoafXdiY8cI0r88iCC38","spotify:track:1LkoafXdiY8cI0r88iCC38","https://api.spotify.com/v1/tracks/1LkoafXdiY8cI0r88iCC38","https://api.spotify.com/v1/audio-analysis/1LkoafXdiY8cI0r88iCC38",318827,4
"25",24,0.555,0.206,2,-19.826,1,0.0453,0.993,0.924,0.113,0.701,132.863,"audio_features","4k038uwzZINTcDz1ApzHJ8","spotify:track:4k038uwzZINTcDz1ApzHJ8","https://api.spotify.com/v1/tracks/4k038uwzZINTcDz1ApzHJ8","https://api.spotify.com/v1/audio-analysis/4k038uwzZINTcDz1ApzHJ8",206500,4
"26",25,0.331,0.488,2,-15.13,1,0.0395,0.678,0.946,0.0892,0.154,113.177,"audio_features","3UjRrlfDTsWJDbRHJZVIRl","spotify:track:3UjRrlfDTsWJDbRHJZVIRl","https://api.spotify.com/v1/tracks/3UjRrlfDTsWJDbRHJZVIRl","https://api.spotify.com/v1/audio-analysis/3UjRrlfDTsWJDbRHJZVIRl",362347,4
"27",26,0.282,0.0171,11,-30.529,0,0.0395,0.995,0.927,0.166,0.0757,146.573,"audio_features","7biIdmYPhOL9a59ZFLvcAB","spotify:track:7biIdmYPhOL9a59ZFLvcAB","https://api.spotify.com/v1/tracks/7biIdmYPhOL9a59ZFLvcAB","https://api.spotify.com/v1/audio-analysis/7biIdmYPhOL9a59ZFLvcAB",354209,3
