"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.578,0.677,2,-7.615,1,0.0411,0.0358,0,0.14,0.812,140.349,"audio_features","4IaTGBLqlOee3S98dm4Zxx","spotify:track:4IaTGBLqlOee3S98dm4Zxx","https://api.spotify.com/v1/tracks/4IaTGBLqlOee3S98dm4Zxx","https://api.spotify.com/v1/audio-analysis/4IaTGBLqlOee3S98dm4Zxx",467186,4
"2",1,0.725,0.94,11,-3.911,0,0.0627,0.17,2.34e-05,0.35,0.666,97.857,"audio_features","6RUEWqkS2N52Mk6epH9E40","spotify:track:6RUEWqkS2N52Mk6epH9E40","https://api.spotify.com/v1/tracks/6RUEWqkS2N52Mk6epH9E40","https://api.spotify.com/v1/audio-analysis/6RUEWqkS2N52Mk6epH9E40",201467,4
"3",2,0.691,0.876,0,-5.978,0,0.0312,0.178,1.06e-05,0.0904,0.955,111.882,"audio_features","7Lfp553u5K9VDEpdIgGtpJ","spotify:track:7Lfp553u5K9VDEpdIgGtpJ","https://api.spotify.com/v1/tracks/7Lfp553u5K9VDEpdIgGtpJ","https://api.spotify.com/v1/audio-analysis/7Lfp553u5K9VDEpdIgGtpJ",264528,4
"4",3,0.682,0.765,4,-9.234,0,0.027,0.222,3.2e-06,0.0675,0.825,102.101,"audio_features","1hIO3CXZoRqO2457LOCAJt","spotify:track:1hIO3CXZoRqO2457LOCAJt","https://api.spotify.com/v1/tracks/1hIO3CXZoRqO2457LOCAJt","https://api.spotify.com/v1/audio-analysis/1hIO3CXZoRqO2457LOCAJt",192496,4
"5",4,0.747,0.907,10,-1.921,1,0.0515,0.316,0,0.0879,0.757,98.005,"audio_features","3LNZSTiwQYL7BnTfHvIOII","spotify:track:3LNZSTiwQYL7BnTfHvIOII","https://api.spotify.com/v1/tracks/3LNZSTiwQYL7BnTfHvIOII","https://api.spotify.com/v1/audio-analysis/3LNZSTiwQYL7BnTfHvIOII",240853,4
"6",5,0.66,0.876,0,-4.654,1,0.0333,0.307,4.28e-06,0.084,0.878,95.045,"audio_features","2s9d07j0dtFlSYVbSlRnvv","spotify:track:2s9d07j0dtFlSYVbSlRnvv","https://api.spotify.com/v1/tracks/2s9d07j0dtFlSYVbSlRnvv","https://api.spotify.com/v1/audio-analysis/2s9d07j0dtFlSYVbSlRnvv",203760,4
"7",6,0.675,0.702,2,-7.112,0,0.0409,0.59,1.88e-06,0.275,0.93,120.085,"audio_features","6cg8xpwqNvh7VVPG5dyymT","spotify:track:6cg8xpwqNvh7VVPG5dyymT","https://api.spotify.com/v1/tracks/6cg8xpwqNvh7VVPG5dyymT","https://api.spotify.com/v1/audio-analysis/6cg8xpwqNvh7VVPG5dyymT",190970,4
"8",7,0.632,0.8,5,-5.294,0,0.0736,0.0624,0.00127,0.328,0.846,200.979,"audio_features","5l84vnSjoeOeMFNVbyRKVH","spotify:track:5l84vnSjoeOeMFNVbyRKVH","https://api.spotify.com/v1/tracks/5l84vnSjoeOeMFNVbyRKVH","https://api.spotify.com/v1/audio-analysis/5l84vnSjoeOeMFNVbyRKVH",194800,4
"9",8,0.763,0.782,9,-4.406,1,0.137,0.206,0,0.0676,0.909,94.987,"audio_features","7BE3hOpzlGRzyPt2lrQEuY","spotify:track:7BE3hOpzlGRzyPt2lrQEuY","https://api.spotify.com/v1/tracks/7BE3hOpzlGRzyPt2lrQEuY","https://api.spotify.com/v1/audio-analysis/7BE3hOpzlGRzyPt2lrQEuY",204293,4
"10",9,0.587,0.602,0,-6.316,1,0.0349,0.139,0,0.0789,0.966,197.882,"audio_features","2ndgJ8HW0gqQnJwKUCJdm6","spotify:track:2ndgJ8HW0gqQnJwKUCJdm6","https://api.spotify.com/v1/tracks/2ndgJ8HW0gqQnJwKUCJdm6","https://api.spotify.com/v1/audio-analysis/2ndgJ8HW0gqQnJwKUCJdm6",219359,4
"11",10,0.603,0.695,5,-6.37,0,0.0402,0.238,0,0.0572,0.813,199.85,"audio_features","1TmHJBYmcbLzUCpJbYCfRp","spotify:track:1TmHJBYmcbLzUCpJbYCfRp","https://api.spotify.com/v1/tracks/1TmHJBYmcbLzUCpJbYCfRp","https://api.spotify.com/v1/audio-analysis/1TmHJBYmcbLzUCpJbYCfRp",232516,4
"12",11,0.811,0.916,9,-3.056,1,0.0356,0.232,5.51e-06,0.055,0.891,104.742,"audio_features","461r7cKe9jxaImXinA02p1","spotify:track:461r7cKe9jxaImXinA02p1","https://api.spotify.com/v1/tracks/461r7cKe9jxaImXinA02p1","https://api.spotify.com/v1/audio-analysis/461r7cKe9jxaImXinA02p1",211253,4
"13",12,0.816,0.908,9,-2.324,0,0.241,0.178,0,0.0273,0.928,94.985,"audio_features","6wWLC6V7TJ7NEygWHc1CFh","spotify:track:6wWLC6V7TJ7NEygWHc1CFh","https://api.spotify.com/v1/tracks/6wWLC6V7TJ7NEygWHc1CFh","https://api.spotify.com/v1/audio-analysis/6wWLC6V7TJ7NEygWHc1CFh",192075,4
"14",13,0.774,0.77,7,-3.074,1,0.0426,0.49,1.25e-06,0.311,0.874,91.995,"audio_features","3cUE3p7E39CzGjQoEsg7sM","spotify:track:3cUE3p7E39CzGjQoEsg7sM","https://api.spotify.com/v1/tracks/3cUE3p7E39CzGjQoEsg7sM","https://api.spotify.com/v1/audio-analysis/3cUE3p7E39CzGjQoEsg7sM",193827,4
"15",14,0.553,0.789,7,-4.426,1,0.0549,0.166,0,0.0786,0.969,206.673,"audio_features","152U4ecGSiYeKm2gnFc4wA","spotify:track:152U4ecGSiYeKm2gnFc4wA","https://api.spotify.com/v1/tracks/152U4ecGSiYeKm2gnFc4wA","https://api.spotify.com/v1/audio-analysis/152U4ecGSiYeKm2gnFc4wA",272045,4
"16",15,0.65,0.826,7,-3.905,1,0.0293,0.228,4.64e-06,0.0776,0.893,93.941,"audio_features","4j7mLH6jAH1Es0p46GfjpC","spotify:track:4j7mLH6jAH1Es0p46GfjpC","https://api.spotify.com/v1/tracks/4j7mLH6jAH1Es0p46GfjpC","https://api.spotify.com/v1/audio-analysis/4j7mLH6jAH1Es0p46GfjpC",204000,4
"17",16,0.742,0.849,2,-4.393,1,0.0802,0.00994,0,0.322,0.816,111.948,"audio_features","7wKrYpEkIa4NNSwkd1YqRQ","spotify:track:7wKrYpEkIa4NNSwkd1YqRQ","https://api.spotify.com/v1/tracks/7wKrYpEkIa4NNSwkd1YqRQ","https://api.spotify.com/v1/audio-analysis/7wKrYpEkIa4NNSwkd1YqRQ",187507,4
"18",17,0.743,0.806,6,-4.873,0,0.0408,0.281,0,0.0924,0.885,104.998,"audio_features","0HApSdHyf2oo4WU4UJiTgc","spotify:track:0HApSdHyf2oo4WU4UJiTgc","https://api.spotify.com/v1/tracks/0HApSdHyf2oo4WU4UJiTgc","https://api.spotify.com/v1/audio-analysis/0HApSdHyf2oo4WU4UJiTgc",248680,4
"19",18,0.688,0.782,4,-4.197,0,0.0306,0.185,0,0.1,0.677,104.973,"audio_features","0zb27OoTaTsIUlf5C3D7sS","spotify:track:0zb27OoTaTsIUlf5C3D7sS","https://api.spotify.com/v1/tracks/0zb27OoTaTsIUlf5C3D7sS","https://api.spotify.com/v1/audio-analysis/0zb27OoTaTsIUlf5C3D7sS",216364,4
"20",19,0.649,0.849,4,-3.733,0,0.0289,0.247,0.000297,0.153,0.857,89.997,"audio_features","3omcI65X80XkY0MqtQmZ73","spotify:track:3omcI65X80XkY0MqtQmZ73","https://api.spotify.com/v1/tracks/3omcI65X80XkY0MqtQmZ73","https://api.spotify.com/v1/audio-analysis/3omcI65X80XkY0MqtQmZ73",213293,4
"21",20,0.771,0.91,5,-2.066,1,0.0623,0.35,2.51e-05,0.0428,0.773,95.029,"audio_features","5zRQDokwLLYAgNB0CCo2qb","spotify:track:5zRQDokwLLYAgNB0CCo2qb","https://api.spotify.com/v1/tracks/5zRQDokwLLYAgNB0CCo2qb","https://api.spotify.com/v1/audio-analysis/5zRQDokwLLYAgNB0CCo2qb",186874,4
"22",21,0.767,0.901,2,-1.975,1,0.0862,0.319,0,0.172,0.751,94.023,"audio_features","5EHRc2WJASyZg3alJqsbqU","spotify:track:5EHRc2WJASyZg3alJqsbqU","https://api.spotify.com/v1/tracks/5EHRc2WJASyZg3alJqsbqU","https://api.spotify.com/v1/audio-analysis/5EHRc2WJASyZg3alJqsbqU",161239,4
"23",22,0.711,0.833,9,-4.601,0,0.0343,0.136,2.12e-05,0.0533,0.857,98.99,"audio_features","2kXjQNAuP4dBb8gb1xO39E","spotify:track:2kXjQNAuP4dBb8gb1xO39E","https://api.spotify.com/v1/tracks/2kXjQNAuP4dBb8gb1xO39E","https://api.spotify.com/v1/audio-analysis/2kXjQNAuP4dBb8gb1xO39E",229840,4
"24",23,0.769,0.899,7,-3.691,1,0.0348,0.291,0,0.0709,0.834,102.035,"audio_features","1g4VHtxL2WZcx4iEMs2ZYs","spotify:track:1g4VHtxL2WZcx4iEMs2ZYs","https://api.spotify.com/v1/tracks/1g4VHtxL2WZcx4iEMs2ZYs","https://api.spotify.com/v1/audio-analysis/1g4VHtxL2WZcx4iEMs2ZYs",208040,4
"25",24,0.807,0.858,0,-4.483,1,0.0418,0.333,0.000875,0.247,0.911,105.053,"audio_features","6enbIDllS5VSAMwv7i6tzZ","spotify:track:6enbIDllS5VSAMwv7i6tzZ","https://api.spotify.com/v1/tracks/6enbIDllS5VSAMwv7i6tzZ","https://api.spotify.com/v1/audio-analysis/6enbIDllS5VSAMwv7i6tzZ",184693,4
